sci_name,com_name,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et
Tachyspiza francesiae,Frances's Sparrowhawk,Aves,Echsensperber,Gavilán de Frances,krogulec malgaski,Épervier de Frances,Madagaskarshikra,Мадагаскарский тювик,シロハラハイタカ,krahujec bledoprsý,esparver de Frances,frances's sparrowhawk,billehauk,Мадагаскарски малък ястреб,skalbaggshök,Rødbåndet Spurvehøg,Frances Atmacası,jastrab bledoprsý,Francisov kobac,Яструб коморський,马岛鹰,madagaskarinvarpushaukka,Gavilán de Frances,Gavilán de Frances,Gavilán de Frances,Frances's sparrowhawk,madagaskarski kobac,Madagaskarinis vanagas,Frances's Sparrowhawk,Frances's Sparrowhawk,tirtsu-raudkull
Tachyspiza gularis,Japanese Sparrowhawk,Aves,Trillersperber,Gavilán Japonés,krogulec japoński,Épervier du Japon,Kleine sperwer,Малый перепелятник,ツミ,krahujec menší,esparver menut del Japó,gavião-japonês,finkehauk,Японски малък ястреб,tajgahök,Japansk Spurvehøg,Japon Atmacası,jastrab japonský,Japanski kobac,Яструб японський,日本松雀鹰,idänvarpushaukka,Gavilán japonés,Gavilán Japonés,Gavilán Japonés,Gavião-japonês,japanski kobac,Japoninis vanagas,Japanese Sparrowhawk,Japanese Sparrowhawk,ida-raudkull
Astur gundlachi,Gundlach's Hawk,Aves,Kubahabicht,Gavilán Cubano,krogulec kubański,Épervier de Cuba,Cubaanse sperwer,Кубинский ястреб,ズグロハイタカ,jestřáb kubánský,astor de Cuba,gundlach's hawk,kubahauk,Кубински ястреб,kubaduvhök,Cubansk Duehøg,Küba Atmacası,jastrab okrovoprsý,Kubanski jastreb,Яструб кубинський,古巴鹰,kuubanlintuhaukka,Gavilán cubano,Gavilán Cubano,Gavilán Cubano,Gundlach's hawk,kubanski jastreb,Kubinis vanagas,Gundlach's Hawk,Gundlach's Hawk,kuuba tanukull
Tachyspiza haplochroa,New Caledonian Goshawk,Aves,Weißbauchhabicht,Gavilán de Nueva Caledonia,krogulec czarnogardły,Autour à ventre blanc,Nieuw-Caledonische havik,Белобрюхий ястреб,ムナグロオオタカ,jestřáb novokaledonský,astor de Nova Caledònia,new caledonian goshawk,hvitbukhauk,Новокаледонски ястреб,nyakaledonienhök,Ny Kaledonsk-duehøg,Ak Karınlı Çakır,jastrab kapucňový,Novokaledonijski jastreb,Яструб новокаледонський,白腹鹰,uudenkaledonianhaukka,Gavilán de Nueva Caledonia,Gavilán de Nueva Caledonia,Gavilán de Nueva Caledonia,New caledonian goshawk,novokaledonski kobac,Naujosios Kaledonijos paukštvanagis,New Caledonian Goshawk,New Caledonian Goshawk,uuskaledoonia raudkull
Tachyspiza henicogramma,Moluccan Goshawk,Aves,Halmaherahabicht,Azor Moluqueño,krogulec molucki,Autour des Moluques,Halmaherahavik,Молуккский ястреб,チャバラオオタカ,jestřáb halmaherský,astor de les Moluques,moluccan goshawk,molukkhauk,Молукски голям ястреб,halmaherahök,Molukduehøg,Maluku Çakırı,jastrab hnedý,Molučki jastreb,Яструб молуцький,摩鹿加鹰,molukkienvarpushaukka,Azor moluqueño,Azor Moluqueño,Azor Moluqueño,Moluccan goshawk,molučki jastreb,Molukinis vanagas,Moluccan Goshawk,Moluccan Goshawk,tõmmu-tuvikull
Astur henstii,Henst's Goshawk,Aves,Madagaskarhabicht,Azor Malgache,jastrząb brunatny,Autour de Henst,Madagaskarhavik,Мадагаскарский тетеревятник,マダガスカルオオタカ,jestřáb madagaskarský,astor de Madagascar,henst's goshawk,mesitthauk,Мадагаскарски голям ястреб,madagaskarduvhök,Madagascar Duehøg,Madagaskar Çakırı,jastrab Henstov,Madagaskarski jastreb,Яструб брунатний,亨氏鹰,madagaskarinkanahaukka,Azor malgache,Azor Malgache,Azor Malgache,Henst's goshawk,madagaskarski jastreb,Madagaskarinis vištvanagis,Henst's Goshawk,Henst's Goshawk,madagaskari kanakull
Tachyspiza hiogaster,Variable Goshawk,Aves,Inselhabicht,Azor Variable,krogulec rdzawobrzuchy,Autour variable,Grijs-rode havik,Изменчивый ястреб,カワリオオタカ,jestřáb rezavobřichý,astor variable,variable goshawk,protevshauk,Изменчив ястреб,proteushök,Variabel Duehøg,Değişken Çakır,jastrab hrdzavobruchý,Raznobojni jastreb,Яструб індонезійський,杂色鹰,punakanahaukka,Azor variable,Azor Variable,Azor Variable,Variable goshawk,sivoleđi jastreb,Rudasis vanagas,Variable Goshawk,Variable Goshawk,saare-tuvikull
Accipiter madagascariensis,Madagascar Sparrowhawk,Aves,Madagaskarsperber,Gavilán Malgache,krogulec prążkowany,Épervier de Madagascar,Madagaskarsperwer,Мадагаскарский перепелятник,マダガスカルハイタカ,krahujec madagaskarský,esparver de Madagascar,madagascar sparrowhawk,madagaskarhauk,Мадагаскарски среден ястреб,madagaskarsparvhök,Madagascarspurvehøg,Madagaskar Atmacası,jastrab madagaskarský,Madagaskarski kobac,Яструб мадагаскарський,马达加斯加雀鹰,madagaskarinlintuhaukka,Gavilán malgache,Gavilán Malgache,Gavilán Malgache,Madagascar sparrowhawk,mrki kobac,Madagaskarinis paukštvanagis,بازگنجشک ماداگاسکاری,Gwalch Madagasgar,madagaskari raudkull
Astur melanoleucus,Black Goshawk,Aves,Dominohabicht,Azor Blanquinegro,jastrząb czarno-biały,Autour noir,Zwarte havik,Чёрно-белый ястреб,オオハイタカ,jestřáb černohřbetý,astor blanc-i-negre,black goshawk,nonnehauk,Черен ястреб,svart duvhök,Afrikansk Skovhøg,Kara Atmaca,jastrab čierno-biely,Crni jastreb,Яструб чорний,黑白雀鹰,mustakanahaukka,Azor blanquinegro,Azor Blanquinegro,Azor Blanquinegro,Black goshawk,crno-bijeli jastreb,Keršasis paukštvanagis,Black Goshawk,Black Goshawk,pugal-kanakull
Tachyspiza minulla,Little Sparrowhawk,Aves,Zwergsperber,Gavilán Chico,krogulec skromny,Épervier minule,Oost-Afrikaanse dwergsperwer,Африканский перепелятник,アフリカツミ,krahujec nejmenší,esparver menut africà,little sparrowhawk,dverghauk,Дребен ястреб,dvärghök,Afrikansk Spurvehøg,Küçük Atmaca,jastrab krahulček,Mali afrički kobac,Яструб савановий,非洲侏雀鹰,afrikanvarpushaukka,Gavilán chico,Gavilán Chico,Gavilán Chico,Little sparrowhawk,mali kobac,Afrikinis mažasis paukštvanagis,Little Sparrowhawk,Little Sparrowhawk,jõgi-värbkull
Accipiter nisus,Eurasian Sparrowhawk,Aves,Sperber,Gavilán Común,krogulec,Épervier d'Europe,Sperwer,Перепелятник,ハイタカ,krahujec obecný,esparver comú,gavião,spurvehauk,Малък ястреб,sparvhök,Spurvehøg,Atmaca,jastrab krahulec,Kobac,Яструб малий,雀鹰,varpushaukka,Gavilán común,Gavilán Común,Gavilán Común,Gavião,kobac,Paukštvanagis,قرقی (باشه) اوراسیایی,Gwalch glas,raudkull
Tachyspiza novaehollandiae,Gray Goshawk,Aves,Grauhabicht,Azor Gris,krogulec australijski,Autour blanc,Grijze havik,Светлый ястреб,ハイイロオオタカ,jestřáb proměnlivý,astor gris,gray goshawk,askehauk,Австралийски голям ястреб,gråhök,Lys Duehøg,Gri Çakır,jastrab menlivý,Sivi jastreb,Яструб тасманійський,灰鹰,vaaleakanahaukka,Azor gris,Azor Gris,Azor Gris,Gray goshawk,sivi jastreb,Šviesusis vištvanagis,Gray Goshawk,Gray Goshawk,lõuna-tuvikull
Accipiter ovampensis,Ovambo Sparrowhawk,Aves,Ovambosperber,Gavilán del Ovambo,krogulec szary,Épervier des Ovampos,Ovambosperwer,Краснобокий перепелятник,サバンナハイタカ,krahujec ovampský,esparver d'Ovambo,ovambo sparrowhawk,ovambohauk,Овамбоенски ястреб,ovambosparvhök,Ovampo Spurvehøg,Ovambo Atmacası,jastrab ovambský,Ovambo jastreb,Яструб намібійський,南非雀鹰,savannilintuhaukka,Gavilán del Ovambo,Gavilán del Ovambo,Gavilán del Ovambo,Ovambo sparrowhawk,sivi kobac,Namibinis paukštvanagis,بازگنجشک اوامبو,Gwalch Ovambo,savanni-raudkull
Accipiter poliogaster,Gray-bellied Hawk,Aves,Graubauchhabicht,Azor Ventrigrís,krogulec siwobrzuchy,Autour à ventre gris,Zuid-Amerikaanse havik,Серобрюхий ястреб,セグロオオタカ,jestřáb jihoamerický,astor pitblanc,tauató-pintado,gråbukhauk,Сивокорем ястреб,gråbukig hök,Gråbuget Duehøg,Gri Karınlı Atmaca,jastrab sivobruchý,Sivotrbi južnoamerički jastreb,Яструб сірочеревий,灰腹鹰,amazoniankanahaukka,Azor ventrigrís,Azor Ventrigrís,Azor Ventrigrís,Tauató-pintado,bjelotrbi jastreb,Pilkapilvis vištvanagis,باز شکمخاکستری,Gwyddwalch torllwyd,selvakull
Tachyspiza rhodogaster,Vinous-breasted Sparrowhawk,Aves,Rosenbrustsperber,Gavilán Pechirrojo,krogulec różany,Épervier à poitrine rousse,Wijnborstsperwer,Рыжегрудый перепелятник,ムネアカツミ,krahujec vínoprsý,esparver pit-rovellat,vinous-breasted sparrowhawk,vinbrysthauk,Червеногръд ястреб,rosabröstad hök,Rosenbrystet Spurvehøg,Kızıl Göğüslü Atmaca,jastrab ružovoprsý,Veliki sulaveški kobac,Яструб винногрудий,葡萄胸雀鹰,mangrovevarpushaukka,Gavilán pechirrojo,Gavilán Pechirrojo,Gavilán Pechirrojo,Vinous-breasted sparrowhawk,sulaveški kobac,Rusvakrūtis paukštvanagis,Vinous-breasted Sparrowhawk,Vinous-breasted Sparrowhawk,sarnas-raudkull
Tachyspiza rufitorques,Fiji Goshawk,Aves,Fidschihabicht,Gavilán de las Fiyi,krogulec rdzawoszyi,Autour des Fidji,Fijihavik,Фиджийский ястреб,フィジーオオタカ,jestřáb fidžijský,astor de les Fiji,fiji goshawk,fijihauk,Фиджийски голям ястреб,fijihök,Fijiduehøg,Fiji Çakırı,jastrab ružovobruchý,Fidžijski jastreb,Яструб фіджійський,斐济鹰,fidžinlintuhaukka,Gavilán de las Fiyi,Gavilán de las Fiyi,Gavilán de las Fiyi,Fiji goshawk,fidžijski kobac,Fidžinis vištvanagis,Fiji Goshawk,Fiji Goshawk,fidži raudkull
Accipiter rufiventris,Rufous-breasted Sparrowhawk,Aves,Rotbauchsperber,Gavilán Papirrufo,krogulec rudobrzuchy,Épervier menu,Roodborstsperwer,Красногрудый перепелятник,ムネアカハイタカ,krahujec rezavoprsý,esparver canyella,rufous-breasted sparrowhawk,rødbrystspurvehauk,Ръждивогръд ястреб,rostbröstad sparvhök,Brunbrystet Spurvehøg,Kızıl Karınlı Atmaca,jastrab hrdzavoprsý,Crvenogrudi kobac,Яструб кенійський,棕胸雀鹰,ruostelintuhaukka,Gavilán papirrufo,Gavilán Papirrufo,Gavilán Papirrufo,Rufous-breasted sparrowhawk,riđotrbi kobac,Rausvakrūtis paukštvanagis,بازگنجشک سینهحنایی,Gwalch brongoch,mägi-raudkull
Tachyspiza soloensis,Chinese Sparrowhawk,Aves,Froschsperber,Gavilán Ranero,krogulec chiński,Épervier de Horsfield,Chinese sperwer,Китайский тювик,アカハラダカ,krahujec čínský,esparver granoter,gavião-chinês,froskehauk,Китайски малък ястреб,kinesisk hök,Paddespurvehøg,Çin Atmacası,jastrab čínsky,Kineski kobac,Яструб китайський,赤腹鹰,sammakkohaukka,Gavilán ranero,Gavilán Ranero,Gavilán Ranero,Gavião-chinês,kobac žabar,Kininis paukštvanagis,Chinese Sparrowhawk,Chinese Sparrowhawk,konna-raudkull
Accipiter striatus,Sharp-shinned Hawk,Aves,Eckschwanzsperber,Gavilán Americano,krogulec zmienny,Épervier brun,Amerikaanse sperwer,Американский перепелятник,アシボソハイタカ,krahujec americký,esparver americà,tauató-miúdo,parulahauk,Американски малък ястреб,amerikansk sparvhök,Amerikansk Spurvehøg,Amerika Atmacası,jastrab čiarkový,Američki kobac,Яструб неоарктичний,纹腹鹰,amerikanvarpushaukka,Gavilán americano,Gavilán Pecho Canela,Azor Americano,Gavião-miúdo,američki kobac,Rausvaausis vanagas,باز ساقتیز,Gwalch Cynffonsgwar,ameerika raudkull
Microspizias superciliosus,Tiny Hawk,Aves,Däumlingssperber,Gavilancito Americano,jastrząb drobny,Épervier nain,Amerikaanse dwergsperwer,Ястреб-крошка,ヒメハイタカ,krahulík drobný,esparver menut sud-americà,tauató-passarinho,kolibrihauk,Ястреб джудже,pygméhök,Dværgspurvehøg,Başparmak Atmacası,jastrabík drobný,Amazonski kobac,Яструб-крихітка,侏儒鹰,kolibrihaukka,Gavilancito americano,Gavilancito Americano,Azor Enano,Gavião-miudinho,amazonski kobac,Tiny Hawk,Tiny Hawk,Tiny Hawk,koolibrikull
Aerospiza tachiro,African Goshawk,Aves,Afrikahabicht,Azor Tachiro,krogulec trzypręgowy,Autour tachiro,Afrikaanse havik,Африканский ястреб,アフリカオオタカ,jestřáb tachiro,astor taixiró,african goshawk,bantuhauk,Африкански голям ястреб,bantuhök,Sorthvid Duehøg,Afrika Çakırı,jastrab tachiro,Afrički jastreb,Яструб ангольський,非洲鹰,afrikanlintuhaukka,Azor tachiro,Azor Tachiro,Azor Tachiro,African goshawk,afrički jastreb,Afrikinis vištvanagis,African Goshawk,African Goshawk,ao-raudkull
Accipiter toussenelii,Accipiter toussenelii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tachyspiza trinotata,Spot-tailed Goshawk,Aves,Fleckschwanzsperber,Gavilán Colipinto,krogulec plamosterny,Épervier à queue tachetée,Vlekstaartsperwer,Пятнистохвостый перепелятник,シラボシオオタカ,krahujec pralesní,esparver cuatacat,spot-tailed goshawk,flekkstjerthauk,Петнистоопашат ястреб,fläckstjärtad hök,Sulawesi Spurvehøg,Benek Kuyruklu Atmaca,jastrab trojškvrnový,Pegavorepi jastreb,Яструб плямистохвостий,斑点尾鹰,liskovarpushaukka,Gavilán colipinto,Gavilán Colipinto,Gavilán Colipinto,Spot-tailed goshawk,pjegavorepi kobac,Dėmėtauodegis paukštvanagis,Spot-tailed Goshawk,Spot-tailed Goshawk,täppsaba-raudkull
Lophospiza trivirgata,Crested Goshawk,Aves,Schopfhabicht,Azor Moñudo,krogulec czubaty,Autour huppé,Kuifhavik,Хохлатый ястреб,カンムリオオタカ,krahulák chocholatý,astor crestat,crested goshawk,topphauk,Качулат ястреб,orienttofshök,Toppet Duehøg,Tepeli Çakır,gajar chochlatý,Ćubasti jastreb,Яструб чубатий,凤头鹰,töyhtölintuhaukka,Azor moñudo,Azor Moñudo,Azor Moñudo,Crested goshawk,kukmasti jastreb,Crested Goshawk,Crested Goshawk,Crested Goshawk,tutt-raudkull
Accipiter ventralis,Plain-breasted Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tachyspiza virgata,Besra,Aves,Besrasperber,Gavilán Besra,krogulec orientalny,Épervier besra,Besrasperwer,Индийский перепелятник,ミナミツミ,krahujec besra,esparver menut de flancs rogencs,besra,besrahauk,Индийски малък ястреб,besra,Besra,Besra Atmacası,jastrab besra,Kobac besra,Яструб яванський,松雀鹰,ruostevarpushaukka,Gavilán besra,Gavilán Besra,Gavilán Besra,Besra,besra,Margasis paukštvanagis,Besra,Besra,habe-raudkull
Rhabdotorrhinus corrugatus,Wrinkled Hornbill,Aves,Runzelhornvogel,Cálao Arrugado,dzioborożec białogardły,Calao à casque rouge,Maleise jaarvogel,Морщинистый калао,ズグロサイチョウ,zoborožec vrásčitý,calau paput,wrinkled hornbill,rynkehornfugl,Беловрата птица носорог,sundanäshornsfågel,Rynkenæb,Ak Keseli Boynuzgaga,zobákorožec vrásčitý,Žutokljuni naborani kljunorožac,Калао білогорлий,皱盔犀鸟,kurttusarvinokka,Cálao arrugado,Cálao Arrugado,Cálao Arrugado,Wrinkled hornbill,crnotrbi kljunorožac,Geltonkrūtis aceras,نوکشاخ چروکدار,Cornbig crychog,kiber-sarvlind
Aceros nipalensis,Rufous-necked Hornbill,Aves,Nepalhornvogel,Cálao del Nepal,dzioborożec rudy,Calao à cou roux,Himalayajaarvogel,Непальский калао,ナナミゾサイチョウ,zoborožec rezavý,calau collrogenc,rufous-necked hornbill,rødhalshornfugl,Ръждивоврата птица носорог,rosthalsad näshornsfågel,Rødhalset Rynkenæb,Kızıl Boyunlu Boynuzgaga,zobákorožec hrdzavý,Crvenobradi kljunorožac,Калао непальський,棕颈犀鸟,kiilasarvinokka,Cálao del Nepal,Cálao del Nepal,Cálao del Nepal,Rufous-necked hornbill,crvenogrli kljunorožac,Nepalinis aceras,نوکشاخ گردنحنایی,Cornbig gyddfgoch,nudi-sarvlind
Achaetops pycnopygius,Rockrunner,Aves,Klippensänger,Saltarrocas Damara,skalnik,Achétopse à flancs roux,Roodstuitrotszanger,Дамарский скалолаз,イワトビムシクイ,skalňáček drozdovitý,roqueret damara,rockrunner,steinhopper,Скален славей,damarasångare,Klippehopper,Damara Kayabülbülü,skalobežec škvrnitý,Damarski lažni čukundrozd,Куцохвостик малий,岩莺,louhikkokerttu,Saltarrocas damara,Saltarrocas Damara,Saltarrocas Damara,Rockrunner,kamenjarska cvrkutuša,Dryžakrūtė devynbalsė,دونده صخره,Coegneidiwr meini,Rockrunner
Acherontia atropos,Acherontia atropos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acheta domesticus,House Cricket,Insecta,Heimchen,Grillo asiático doméstico,świerszcz domowy,Grillon domestique,Huiskrekel,Сверчок домовый,ヨーロッパイエコオロギ,cvrček domácí,grill domèstic,Grilo-doméstico,hussiriss,House Cricket,hussyrsa,Husfårekylling,House Cricket,svrček domový,Кућни попац,Цвіркун хатній,家蟋蟀,kotisirkka,House Cricket,House Cricket,House Cricket,House Cricket,Kućni šturak,Naminis svirplys,House Cricket,House Cricket,Toakilk
Acheta rufopictus,Acheta rufopictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Short-horned Grasshoppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acridotheres burmannicus,Burmese Myna,Aves,Burmamaina,Miná Birmano,majna birmańska,Martin birman,Birmese maina,Камбоджийский скворец,シロガシラムクドリ,majna barmská,mainà de Myanmar,burmese myna,burmastær,Бирманска майна,burmamajna,Myanmarstær,Gri Enseli Çiğdeci,škorec vínovoprsý,Burmanska mina,Майна бірманська,红嘴椋鸟,naamiokottarainen,Miná birmano,Miná Birmano,Miná Birmano,Burmese myna,burmanski čvorak,Burmese Myna,سار سینهشرابی,Drudwen Jerdon,hõbe-mainakuldnokk
Acridotheres cristatellus,Crested Myna,Aves,Haubenmaina,Miná Crestado,majna czubata,Martin huppé,Kuifmaina,Хохлатая майна,ハッカチョウ,majna chocholatá,mainà crestat,mainato-de-poupa,krøllstær,Качулата майна,kinesisk majna,Topmaina,Tepeli Çiğdeci,škorec chochlatý,Ćubasta mina,Майна чубата,八哥,riisimaina,Miná crestado,Miná Crestado,Estornino Crestado,Mainato-de-poupa,bjelokljuni čvorak,cimeņmaina,مینای تاجدار,Maina Tsieina,hiina mainakuldnokk
